courseId,courseName,courseDescription,courseCredits,courseSubject,courseLevel,courseCampus
NDFS 399R,Acad Internship: Nutritnl Sci,"On- or off-campus work experience sponsored by industrial, government, or academic institutions.","(9, 9)",,,
CH EN 496,Academic Internship Thesis,Experiential learning in complex problem solving through an industrial internship or co-op. Thesis writing.,"(3, 3)",,,
PSYCH 496R,"Academic Internship, Capstone",,"(3, 3)",,,
SC ED 496R,Academic Internship--Biol Sci,"Capstone, field-based, year-long experience in teaching secondary students; demonstrating proficiency in all program standards. Seminar required.","(12, 12)",,,
ELING 399R,Academic Internship,On-the-job experience and education related to editing and English language studies.,"(9, 9)",,,
SC ED 496R,Academic Internship--English,"Capstone, field-based, year-long experience in teaching secondary students; demonstrating proficiency in all program standards. Seminar required.","(12, 12)",,,
LING 299R,Academic Internship,Students with focused training teach specific English skills to speakers of other languages in the U. S. or abroad.,"(9, 9)",,,
GERM 496R,Academic Internship: Germ Tchg,"Capstone, field-based, year-long, full-time experience in teaching secondary students; demonstrating proficiency in all program standards. Seminar required.","(12, 12)",,,
IT&C 199R,Academic Internship,Work experience evaluated by supervisor and posted on student's transcript.,"(3, 3)",,,
IT&C 399R,Academic Internship,Experience in industrial environment. Approved job function supervised by employer and Information Technology & Cybersecurity advisor. Formal technical report required.,"(3, 3)",,,
SC ED 496R,Academic Internship--Math,"Capstone, field-based, year-long experience in teaching secondary students; demonstrating proficiency in all program standards. Seminar required.","(12, 12)",,,
TMA 599R,Academic Internship: Media,Off-campus experience or internship in media arts.,"(9, 9)",,,
TMA 496R,Academic Internship: Media,Off-campus experience or internship in media arts.,"(9, 9)",,,
ACC 599R,Academic Internship,"On-the-job experience and training in industry, government, or public accounting firms.","(3, 3)",,,
DANCE 399R,Academic Internship: Ballroom,Internship in Ballroom Dance.,"(4, 4)",,,
CELL 399R,Academic Internship,On-the-job experience in off-campus laboratories with a focus related to cell biology or physiology.,"(9, 9)",,,
CHEM 496R,Academic Internship,"Research experience in an industrial, academic, or government laboratory in collaboration with a BYU faculty colleague/supervisor.","(6, 6)",,,
