"course_code","course_name","description","level"
"ARI 381D","Architectural Drawing.","Visual communication in such media as freehand drawing, modeling, photography, and measured drawings. Five laboratory hours a week for one semester. Architecture Interior Design 381D and 381R (Topic: Architectural Drawing) may not both be counted. Prerequisite: Graduate standing and consent of graduate adviser.","Graduate Courses"
"ARI 381R","Topics in Representation.","Topics in the fundamental components of interior design and visual communication. Five or six laboratory hours a week for one semester.  May be repeated for credit when the topics vary. Prerequisite: Graduate standing and consent of the graduate adviser.","Graduate Courses"
"ARI 381T","Topics in Emerging Technologies.","Examines tools, techniques, and methods used in simulating, constructing, and experiencing interior space. Studies how various emerging technologies affect interior design, from initial design to fabrication to completion. Three lecture hours a week for one semester.  May be repeated for credit when the topics vary. Prerequisite: Graduate standing and consent of the graduate adviser.","Graduate Courses"
"ARI 382","Interior Design Practice.","Business procedures, professional practice, design project control and management, and professional ethics as they relate to interior design. Three lecture hours a week for one semester. Prerequisite: Graduate standing and consent of the graduate adviser.","Graduate Courses"
"ARI 382D","Mediating Interiors.","Explore methods of media-based processes such as drawing, modeling, imaging, and coding in design, with particular emphasis on explorations which make interior space perceptually, physically, and conceptually tangible. Three lectures hours a week for one semester. Prerequisite: Graduate standing and consent of graduate advisor.","Graduate Courses"
"ARI 384F","Environmental Control: Heat, Air and Water.","Examine thermal comfort, heating, cooling, ventilation, plumbing systems, fire protection, and conveying equipment in buildings. Three lecture hours and one laboratory hour a week for one semester. Only one of the following may be counted: Architecture 384F , 384L , Architectural Interior Design 384F , and 384K . Prerequisite: Graduate standing and consent of the graduate adviser.","Graduate Courses"
"ARI 384G","Environmental Control: Light, Sound and Electricity.","Survey light and color fundamentals, daylighting, artificial illumination, acoustics, and electrical and information systems for buildings. Three lecture hours and one laboratory hour a week for one semester. Only one of the following may be counted: Architecture 384K , 384G , Architectural Interior Design 384L , 384G . Prerequisite: Graduate standing and consent of the graduate advisor.","Graduate Courses"
"ARI 385K","Construction I.","Restricted to students in the Master of Interior Design, first professional program. Introduction to building construction, materials, and structures. Three lecture hours and three laboratory hours a week for one semester. Prerequisite: Graduate standing and consent of graduate adviser.","Graduate Courses"
"ARI 385L","Construction II: Interior Materials and Assemblies.","Restricted to students in the Master of Interior Design, first professional program. Core concepts in interior materials, assemblies, and systems. Includes material properties, environmental and sustainable issues, attachment, detailing, and product specifications. Projects encourage manipulation and assembly of various material systems. Also includes case studies using material samples, and field trips to sites of fabrication. Six lecture hours and three laboratory hours a week for one semester. Prerequisite: Graduate standing, Architectural Interior Design 385K with a grade of at least C, and consent of graduate adviser.","Graduate Courses"
"ARI 385T","Topics in Materials and Tectonics.","Investigates traditional interior design materials and materials emerging from new technologies. Three lecture hours a week for one semester.  May be repeated for credit when the topics vary. Prerequisite: Graduate standing and consent of the graduate adviser.","Graduate Courses"
"ARI 386K","Seminar in Interior Design.","Introductory subjects in interior design. Three lecture hours a week for one semester. Prerequisite: Graduate standing and consent of the graduate adviser.","Graduate Courses"
"ARI 386M","Topics in Interior Design Theory and Criticism.","Three lecture hours a week for one semester.  May be repeated for credit when the topics vary. Prerequisite: Graduate standing and consent of the graduate adviser.","Graduate Courses"
"ARI 388","Designing for Human Behavior.","Restricted to students in the Master of Interior Design, first professional program.  Three lecture hours a week for one semester. Architectural Interior Design 386M (Topic: Designing for Human Behavior) and 388 may not both be counted. Prerequisite: Graduate standing.","Graduate Courses"
"ARI 388K","Interior Design History I.","Survey of interior design from antiquity through the eighteenth century, including theoretical, social, technical, and environmental issues. Three lecture hours a week for one semester. Prerequisite: Graduate standing and consent of the graduate adviser.","Graduate Courses"
"ARI 388L","Interior Design History II.","Study of function and aesthetics, and decoration and use, emphasizing interiors from the nineteenth century to the present. Three lecture hours a week for one semester. Prerequisite: Graduate standing and Architectural Interior Design 388K with a grade of at least C.","Graduate Courses"
"ARI 388R","Topics in Interior Design History.","Three lecture hours a week for one semester.  May be repeated for credit when the topics vary. Prerequisite: Graduate standing and consent of the graduate adviser. Additional prerequisites may vary with the topic.","Graduate Courses"
"ARI 389, 689","Research in Interior Design.","Investigation of problems selected by the student and approved by the graduate adviser. Three or six lecture hours a week for one semester. Prerequisite: Graduate standing and consent of the graduate adviser.","Graduate Courses"
"ARI 391P","Productions.","Same as Architecture 391P . Designed to explore the relationships between the generation of form, space, experience, and atmosphere in the spatial practices of interior design, architecture, and art. Three lecture hours a week for one semester. Only one of the following may be counted: Architecture 386M (Topic: Productions), 391P , Architectural Interior Design 386M (Topic: Productions), 391P . Prerequisite: For students in the School of Architecture, graduate standing; for others, graduate standing and consent of instructor.","Graduate Courses"
"ARI 392F","Digital Drawing and Fabrication.","Focus on advanced visual communication methodologies necessary for architectural generation, translation, and output. Six laboratory hours a week for one semester. Architectural Interior Design 381R (Topic: Digital Drawing and Fabrication) and 392F may not both be counted. Prerequisite: Graduate standing and consent of the graduate adviser.","Graduate Courses"
"ARI 392P","Prototype.","Same as Architecture 392P . Focus on digital fabrication as a link between architecture and product design. Five laboratory hours a week for one semester. Only one of the following may be counted: Architecture 381R (Topic: Prototype), 392P , Architectural Interior Design 381R (Topic: Prototype), 392P . Offered on the letter-grade basis only. Prerequisite: Graduate standing and consent of the graduate adviser.","Graduate Courses"
"ARI 693","Master's Design Studio.","Restricted to students in the Master of Interior Design, first professional program. Advanced study in architectural interior design, addressing complex design problems and issues related to various architectural topics. The equivalent of eighteen laboratory hours a week for one semester.  May be repeated for credit when the topics vary. Prerequisite: Graduate standing and consent of the graduate adviser.","Graduate Courses"
"ARI 693K","Interior Design Core Studio I.","Explores interior spaces and their sequence and adjacencies. Studies individual rooms, their locations, and their uses in such fields as hospitality, health care, and entertainment. Special emphasis on the design of transitions from public spaces to personal spaces. Fifteen hours of lecture and studio a week for one semester. Prerequisite: Graduate standing and consent of the graduate adviser.","Graduate Courses"
"ARI 693L","Interior Design Core Studio II.","Examination of the elements of interior space and scale, including specific human factors. Particular emphasis on the design, documentation, production, and placement of objects in interiors. Fifteen hours of lecture and studio a week for one semester. Prerequisite: Graduate standing, Architectural Interior Design 693K with a grade of at least C, and consent of the graduate adviser.","Graduate Courses"
"ARI 693M","Interior Design Core Studio III.","Examination of interior spaces and elements. Fifteen hours of lecture and studio a week for one semester.  Offered on the letter-grade basis only. Prerequisite: Graduate standing, Architectural Interior Design 693L with a grade of at least C, and consent of the graduate adviser.","Graduate Courses"
"ARI 694","Advanced Design: International Studio.","Advanced problems in international interior design. Students help design new residential or commercial buildings, incorporating local architectural style. Includes research of local historical texts. Taught abroad in locations that vary by semester, but may include Italy and Mexico. Fifteen studio hours a week for one semester.  May be repeated for credit. Prerequisite: Graduate standing, Architectural Interior Design 693K and 693L , and consent of the graduate adviser.","Graduate Courses"
"ARI 695","Interior Design: Technical Studio.","Comprehensive studio that focuses on combining the elements that create a thorough interior design. Fifteen studio hours a week for one semester. Prerequisite: Graduate standing, Architectural Interior Design 693K and 693L , and consent of the graduate adviser.","Graduate Courses"
"ARI 395D","Frank Lloyd Wright: Design, Method, Theory.","Same as Architecture 395D and Landscape Architecture 395D . Comprehensive study of Frank Lloyd Wright's life and work with emphasis on the analyses of his concepts of organic architecture, design methods, and theories. Three lecture hours a week for one semester. Only one of the following may be counted: Architecture 388R (Topic: Frank Lloyd Wright: Design, Method, Theory), 395D , Architectural Interior Design 388R (Topic: Frank Lloyd Wright: Design, Method, Theory), 395D , Landscape Architecture 388 (Topic: Frank Lloyd Wright), 395D . Offered on the letter-grade basis only. Prerequisite: Graduate standing.","Graduate Courses"
"ARI 395G","The American Home: Identity, Process, and Marketing.","Same as Architecture 395G and Landscape Architecture 395G . An examination of how American housing is conceived, developed, and marketed, as well as relationships between home buyers and builders. Three lecture hours a week for one semester. Only one of the following may be counted: Architecture 388R (Topic: American Home), 395G , Architectural Interior Design 388R (Topic: American Home), 395G , Landscape Architecture 388 (Topic: American Home), 395G . Offered on the letter-grade basis only. Prerequisite: For students in the School of Architecture, graduate standing; for others, graduate standing and consent of instructor.","Graduate Courses"
"ARI 696","Advanced Interior Design Studio.","Studies advanced problems in interior design and examines design strategies and different phases of design. Topics may focus on interior design as it relates to retail, education, sustainability, and health care. Fifteen studio hours a week for one semester.  May be repeated for credit when the topics vary. Prerequisite: Graduate standing, Architectural Interior Design 693K and 693L , and consent of the graduate adviser.","Graduate Courses"
"ARI 197","Interior Design Internship.","Practical application of design procedures in a professional design office. Sixteen to twenty hours of work a week for one semester (a total of at least 250 hours). Prerequisite: Graduate standing and consent of the graduate adviser.","Graduate Courses"
"ARI 698","Thesis.","For students seeking the Master of Interior Design degree. The equivalent of three lecture hours a week for two semesters.  Offered on the credit/no credit basis only. Prerequisite: For 698A , graduate standing in interior design and consent of the graduate adviser; for 698B , Interior Design 698A .","Graduate Courses"
"ART 310P (TCCN: ARTS 2333)","Introduction to Print.","Restricted to studio art and art education majors. Introduction to the concepts, methods, and materials of print including a combination of intaglio, relief, lithography, serigraphy, and/or book arts. Six laboratory hours a week for one semester.  Offered on the letter-grade basis only. Prerequisite: Studio Art 311C , 312C , 313C , and 314C with a grade of at least C in each (or two of the following three courses with a grade of at least C in each: Studio Art 301C , 302C , 303C ).","Lower-Division Courses"
"ART 311C (TCCN: ARTS 1316)","Core Studio: Drawing.","Restricted to art history, studio art, and art education majors. Explore techniques of drawing in a contemporary context. Focus on line, line weight, continuous line, contour line, sighting, figure, gesture, perspective (two point, three point, and isometric/orthogonal drawing), value, color, and texture. Six laboratory hours a week for one semester. Studio Art 302C and 311C may not both be counted. Offered on the letter-grade basis only.","Lower-Division Courses"
"ART 311K (TCCN: ARTS 2316)","Painting I.","Restricted to studio art and art education majors. Introduction to painting techniques, composition, and exploration of personal expression. Six laboratory hours a week for one semester.  Offered on the letter-grade basis only. Prerequisite: Studio Art 311C , 312C , 313C , and 314C with a grade of at least C in each (or two of the following three courses with a grade of at least C in each: Studio Art 301C , 302C , 303C ).","Lower-Division Courses"
"ART 312C (TCCN: ARTS 1311)","Core Studio: 2D.","Restricted to art history, studio art, and art education majors. Create planar works and explore formal principles and conceptual concerns in a contemporary context. Six laboratory hours a week for one semester. Studio Art 301C and 312C may not both be counted. Offered on the letter-grade basis only.","Lower-Division Courses"
"ART 313C (TCCN: ARTS 1312)","Core Studio: 3D.","Restricted to studio art and art education majors. Create spatial works and explore formal principles and conceptual concerns in a contemporary context. Six laboratory hours a week for one semester. Studio Art 303C and 313C may not both be counted. Offered on the letter-grade basis only.","Lower-Division Courses"
"ART 313K (TCCN: ARTS 2326)","Beginning Sculpture.","Restricted to studio art and art education majors. Introduction to the processes involved in the production of object-oriented sculpture using direct methods of hot and cold construction. Six laboratory hours a week for one semester.  Offered on the letter-grade basis only. Prerequisite: Studio Art 311C , 312C , 313C , and 314C with a grade of at least C in each (or two of the following three courses with a grade of at least C in each: Studio Art 301C , 302C , 303C ).","Lower-Division Courses"
"ART 314C","Core Studio: Time and Technology.","Restricted to studio art and art education majors. Explore time-based media and digital technology in a contemporary context. Six laboratory hours for one semester.  Offered on the letter-grade basis only.","Lower-Division Courses"
"ART 315K (TCCN: ARTS 1317)","Beginning Drawing.","Restricted to studio art and art education majors. Exploration of various methods, subjects, and expressive possibilities in drawing. Six laboratory hours a week for one semester.  Offered on the letter-grade basis only. Prerequisite: Studio Art 311C , 312C , 313C , and 314C with a grade of at least C in each (or two of the following three courses with a grade of at least C in each: Studio Art 301C , 302C , 303C ).","Lower-Division Courses"
"ART 316K (TCCN: ARTS 2323)","Beginning Life Drawing.","Restricted to studio art and art education majors. Problems in drawing and construction of the human figure in selected media. Six laboratory hours a week for one semester.  Offered on the letter-grade basis only. Prerequisite: Studio Art 311C , 312C , 313C , and 314C with a grade of at least C in each (or two of the following three courses with a grade of at least C in each: Studio Art 301C , 302C , 303C ).","Lower-Division Courses"
"ART 316V","Transmedia: Expanded Media I.","Introduction to video, digital, net.art, and multiple media art forms with an emphasis on experimentation and a DIY approach to production. Focuses on the history, theory, and evolution of media art practices and their relation to the Internet and social media networks. Six laboratory hours a week for one semester.  Offered on the letter-grade basis only. Prerequisite: Studio Art 311C , 312C , 313C , and 314C with a grade of at least C in each (or two of the following three courses with a grade of at least C in each: Studio Art 301C , 302C , 303C ).","Lower-Division Courses"
"ART 317C","Transmedia: Performance Art I.","An introduction to the practice, history, and theory of performance art in a variety of contexts and spaces, including theatrical, the white cube, and the workaday world. Six laboratory hours a week for one semester.  Offered on the letter-grade basis only. Prerequisite: Studio Art 311C , 312C , 313C , and 314C with a grade of at least C in each (or two of the following three courses with a grade of at least C in each: Studio Art 301C , 302C , 303C ).","Lower-Division Courses"
"ART 317K (TCCN: ARTS 2356)","Beginning Photography.","Restricted to studio art and art education majors. An introduction to still photography, including basic technical skills and concepts. Six laboratory hours a week for one semester.  Offered on the letter-grade basis only. Prerequisite: Studio Art 311C , 312C , 313C , and 314C with a grade of at least C in each (or two of the following three courses with a grade of at least C in each: Studio Art 301C , 302C , 303C ).","Lower-Division Courses"
"ART 318C","Transmedia: Digital Time-Art I.","Study in digital video, sound, and animation, with emphasis on the exploration of movement, image, and montage. Guided inquiry into pertinent conceptual, perceptual, and practical skills. Six laboratory hours a week for one semester.  Offered on the letter-grade basis only. Prerequisite: Studio Art 311C , 312C , 313C , and 314C with a grade of at least C in each (or two of the following three courses with a grade of at least C in each: Studio Art 301C , 302C , 303C ).","Lower-Division Courses"
"ART 119Q, 219Q, 319Q, 419Q, 519Q, 619Q, 719Q, 819Q, 919Q","Topics in Studio Art.","This course is used to record credit the student earns while enrolled at another institution in a program administered by the University's Study Abroad Office. Credit is recorded as assigned by the study abroad adviser in the Department of Art and Art History. University credit is awarded for work in an exchange program; it may be counted as coursework taken in residence. Transfer credit is awarded for work in an affiliated studies program.  May be repeated for credit when the topics vary.","Lower-Division Courses"
"ART 319T","Topics in Studio Art: Laboratory.","Restricted to studio art and art education majors. Intensive study of various disciplines of studio art. Six laboratory hours a week for one semester.  May be repeated for credit when the topics vary. Prerequisite: Studio Art 311C , 312C , 313C , and 314C with a grade of at least C in each (or two of the following three courses with a grade of at least C in each: Studio Art 301C , 302C , 303C ).","Lower-Division Courses"
"ART 320F","Digital Fabrication I.","Restricted to studio art and art education majors. Study of the artistic culture and techniques associated with digital visualization, three dimensional data acquisition, and various forms of digital fabrication including 3D Printing, computer numerical controlled milling, and Laser Cutting. Six laboratory hours a week for one semester.  Offered on the letter-grade basis only. Prerequisite: Studio Art 311C , 312C , 313C , and 314C with a grade of at least C in each (or two of the following three courses with a grade of at least C in each: Studio Art 301C , 302C , 303C ).","Upper-Division Courses"
"ART 320K","Topics in Studio Art.","Six laboratory hours a week for one semester. May not be counted toward a degree in the Department of Art and Art History. May be repeated for credit when the topics vary.","Upper-Division Courses"
"ART 320L","Topics in Studio Art.","Continuation of Studio Art 320K . Six laboratory hours a week for one semester.  May be repeated for credit when the topics vary. Prerequisite: Upper-division standing and Studio Art 320K with a grade of at least C.","Upper-Division Courses"
"ART 321K","Painting II.","Restricted to studio art and art education majors. Problems in composition and exploration of personal expression. Six laboratory hours a week for one semester. May be taken twice for credit. May be repeated for credit. Offered on the letter-grade basis only. Prerequisite: Studio Art 311K with a grade of at least C.","Upper-Division Courses"
"ART 322K","Intermediate Drawing.","Restricted to studio art and art education majors. Continuation of Studio Art 315K . Six laboratory hours a week for one semester. May be taken twice for credit. May be repeated for credit. Offered on the letter-grade basis only. Prerequisite: Studio Art 315K with a grade of at least C.","Upper-Division Courses"
"ART 323K","Intermediate Sculpture.","Restricted to studio art and art education majors. Exploration of the concepts and processes involved in the production of object-oriented sculpture, with emphasis on indirect methods of mold-making and casting. Encourages individual direction. Six laboratory hours a week for one semester. May be taken twice for credit. May be repeated for credit. Offered on the letter-grade basis only. Prerequisite: Studio Art 313K with a grade of at least C.","Upper-Division Courses"
"ART 323S","Installation Sculpture.","Restricted to studio art and art education majors. Exploration of the theories and methods involved in the production of installation sculpture through the investigation of form and space and of their function in transforming environmental, architectural, or invented sites. Six laboratory hours a week for one semester. May be taken twice for credit. May be repeated for credit. Offered on the letter-grade basis only. Prerequisite: Studio Art 313K with a grade of at least C.","Upper-Division Courses"
"ART 325G","Intermediate Print: Serigraphy.","Restricted to studio art and art education majors. Practice in the theories and techniques of multicolor serigraphy and photoserigraphy. Six laboratory hours a week for one semester. May be taken twice for credit. May be repeated for credit. Offered on the letter-grade basis only. Prerequisite: Studio Art 310P with a grade of at least C.","Upper-Division Courses"
"ART 325J","Intermediate Print: Relief.","Restricted to studio art and art education majors. Instruction in relief print processes in conjunction with digital technologies. Utilization of laser cutters, CNC routers, and large-format photo printers as well as traditional techniques to generate dynamic projects in woodcut, linocut, and more. Emphasis on contemporary print practice in the expanded field. Six laboratory hours a week for one semester. May be taken twice for credit. May be repeated for credit. Offered on the letter-grade basis only. Prerequisite: Studio Art 310P with a grade of at least C.","Upper-Division Courses"
"ART 325K","Intermediate Print: Intaglio.","Restricted to studio art and art education majors. Instruction in the theories and techniques of intaglio printmaking, color, assemblage, stencil, viscosity, collography, photo process, and relief. Six laboratory hours a week for one semester. May be taken twice for credit. May be repeated for credit. Offered on the letter-grade basis only. Prerequisite: Studio Art 310P with a grade of at least C.","Upper-Division Courses"
"ART 325M","Intermediate Print: Lithography.","Restricted to studio art and art education majors. Instruction in the theories and techniques of metal plate, multicolor, and stone lithography and photolithography. Six laboratory hours a week for one semester. May be taken twice for credit. May be repeated for credit. Offered on the letter-grade basis only. Prerequisite: Studio Art 310P with a grade of at least C.","Upper-Division Courses"
"ART 325T","Intermediate Print: Monotype.","Restricted to studio art and art education majors. Explore the concepts, methods, and materials of monotype. Six laboratory hours a week for one semester. May be taken three times for credit. May be repeated for credit. Offered on the letter-grade basis only. Prerequisite: Studio Art 310P or Studio Art 311K with a grade of at least C.","Upper-Division Courses"
"ART 129Q, 229Q, 329Q, 429Q, 529Q, 629Q, 729Q, 829Q, 929Q","Topics in Studio Art.","This course is used to record credit the student earns while enrolled at another institution in a program administered by the University's Study Abroad Office. Credit is recorded as assigned by the study abroad adviser in the Department of Art and Art History. University credit is awarded for work in an exchange program; it may be counted as coursework taken in residence. Transfer credit is awarded for work in an affiliated studies program.  May be repeated for credit when the topics vary.","Upper-Division Courses"
"ART 330P","Advanced Print Workshop.","Restricted to studio art and art education majors. Focuses on the concepts and practice of print. Six laboratory hours a week for one semester.  Offered on the letter-grade basis only. Prerequisite: Studio Art 310P with a grade of at least C, and one of the following with a grade of at least C: Studio Art 325G , 325J , 325K , 325M , or 325T .","Upper-Division Courses"
"ART 335K","Intermediate Photography.","Restricted to studio art and art education majors. Practice in still photography, including materials and processes. Six laboratory hours a week for one semester.  Offered on the letter-grade basis only. Prerequisite: Studio Art 317K with a grade of at least C.","Upper-Division Courses"
"ART 336V","Transmedia: Expanded Media II.","Advanced practice of media art exploring time, space, and reality through multidimensional forms. An investigation of media technologies and networks: aesthetically, formally, theoretically or conceptually using traditional media, new media, and immaterial approaches. Six laboratory hours a week for one semester. May be taken twice for credit. May be repeated for credit. Offered on the letter-grade basis only.","Upper-Division Courses"
"ART 337C","Transmedia: Performance Art II.","Advanced workshop in performance art that focuses on the development of researched solo and collaborative projects. Six laboratory hours a week for one semester. May be taken twice for credit. May be repeated for credit. Offered on the letter-grade basis only.","Upper-Division Courses"
"ART 338C","Transmedia: Digital Time-Art II.","Study in digital video, sound, and animation, with emphasis on the exploration of cinematic time and its time-based installation. Guided inquiry into the relationship between video and video projections, and technics and technology. Six laboratory hours a week for one semester. May be taken twice for credit. May be repeated for credit. Offered on the letter-grade basis only.","Upper-Division Courses"
"ART 340F","Digital Fabrication II.","Restricted to studio art and art education majors. Advanced study of the artistic culture and techniques associated with digital visualization, three dimensional data acquisition, and various forms of digital fabrication including 3D Printing, computer numerical controlled milling, and Laser Cutting. Six laboratory hours a week for one semester.  Offered on the letter-grade basis only. Prerequisite: Studio Art 320F and twelve additional hours of studio credit, with a grade of at least C in each.","Upper-Division Courses"
"ART 341K","Painting III.","Restricted to studio art and art education majors. Continuation of Studio Art 321K . Six laboratory hours a week for one semester. May be taken twice for credit. May be repeated for credit. Offered on the letter-grade basis only. Prerequisite: Studio Art 321K with a grade of at least C.","Upper-Division Courses"
"ART 346K","Intermediate Life Drawing.","Restricted to studio art and art education majors. Advanced problems in drawing and construction of the human figure. Six laboratory hours a week for one semester. May be taken twice for credit. May be repeated for credit. Offered on the letter-grade basis only. Prerequisite: Studio Art 316K with a grade of at least C.","Upper-Division Courses"
"ART 350","Philosophy, Theory, and Criticism.","Restricted to studio art and art education majors and to students pursuing the studio art minor. Advanced exploration of philosophy, theory, and criticism from a studio art perspective. Three lecture hours a week for one semester.  Offered on the letter-grade basis only. Prerequisite: Studio Art 311C , 312C , 313C , and 314C with a grade of at least C in each (or two of the following three courses with a grade of at least C in each: Studio Art 301C , 302C , 303C ).","Upper-Division Courses"
"ART 350C","The New Color.","A study of color through the lenses of science, technology, psychology, arts, design and popular culture. Exploration of color using thought experiments, written analysis, tools for independent inquiry with creative research projects, collaborative teamwork exercises, and hands-on experiments. Three lecture hours or two lecture hours and one lab/discussion a week for one semester.  Offered on the letter-grade basis only.","Upper-Division Courses"
"ART 350E","Aesthetics of Health.","Explore the intersection of art and healthcare. Six laboratory hours a week for one semester. May be taken twice for credit. May be repeated for credit. Offered on the letter-grade basis only. Prerequisite: Consent of instructor.","Upper-Division Courses"
"ART 350M","Topics in Studio Art Practice.","Six laboratory hours a week for one semester.  May be repeated for credit when the topics vary. Offered on the letter-grade basis only.","Upper-Division Courses"
"ART 350N","Topics in Studio Art Lecture.","Three hours once a week for one semester.  May be repeated for credit when the topics vary. Offered on the letter-grade basis only.","Upper-Division Courses"
"ART 350P","Professional Practices.","Restricted to students pursuing the Bachelor of Fine Arts degree with a major in studio art. Exploration of professional practices as they relate to the field of visual arts. Focus on writing an artist statement and resume, as well as learning about writing and applying for exhibition, grant, and residency opportunities. Three lecture hours a week for one semester.  Offered on the letter-grade basis only. Prerequisite: Upper-division standing and Studio Art 311C , 312C , 313C , and 314C with a grade of at least C in each (or two of the following three courses with a grade of at least C in each: Studio Art 301C , 302C , 303C ).","Upper-Division Courses"
"ART 352C","Painting for Nonmajors.","Restricted to students who are not majors in Studio Art or Art Education. Exploration of various methods, subjects, and expressive possibilities in painting. Six laboratory hours a week for one semester. May be taken twice for credit. May be repeated for credit. Offered on the letter-grade basis only.","Upper-Division Courses"
"ART 352D","Drawing for Nonmajors.","Restricted to students who are not majors in Studio Art or Art Education. Exploration of various methods, subjects, and expressive possibilities in drawing. Six laboratory hours a week for one semester. May be taken twice for credit. May be repeated for credit. Offered on the letter-grade basis only.","Upper-Division Courses"
"ART 352E","Figure Drawing for Nonmajors.","Restricted to non-department of art and art history majors. Exploration of the human figure in selected media. Six laboratory hours a week for one semester. May be taken twice for credit. May be repeated for credit. Offered on the letter-grade basis only.","Upper-Division Courses"
"ART 352F","Print for Nonmajors.","Restricted to students who are not majors in Studio Art or Art Education. Exploration of the concepts, methods, and materials of print. Six laboratory hours a week for one semester. May be taken twice for credit. May be repeated for credit. Offered on the letter-grade basis only.","Upper-Division Courses"
"ART 352G","Sculpture for Nonmajors.","Restricted to students who are not majors in Studio Art or Art Education. Exploration of the processes involved in the production of object-oriented sculpture. Six laboratory hours a week for one semester. May be taken twice for credit. May be repeated for credit. Offered on the letter-grade basis only.","Upper-Division Courses"
"ART 352J","Photography for Nonmajors.","Restricted to students who are not majors in Studio Art or Art Education. Exploration of still photography. Six laboratory hours a week for one semester. May be taken twice for credit. May be repeated for credit. Offered on the letter-grade basis only.","Upper-Division Courses"
"ART 352K","Transmedia for Nonmajors.","Restricted to students who are not majors in Studio Art or Art Education. Exploration of time-based media. Six laboratory hours a week for one semester. May be taken twice for credit. May be repeated for credit. Offered on the letter-grade basis only.","Upper-Division Courses"
"ART 355","Studio Projects.","Restricted to studio art and art education majors. Study of specific techniques or problems. Six laboratory hours a week for one semester.  May be repeated for credit when the topics vary. Offered on the letter-grade basis only. Prerequisite: Upper-division standing; Studio Art 311C , 312C , 313C , and 314C with a grade of at least C in each (or two of the following three courses with a grade of at least C in each: Studio Art 301C , 302C , 303C ), and twelve additional semester hours of coursework in studio art with a grade of at least C in each course.","Upper-Division Courses"
"ART 356V","Transmedia: Expanded Media III.","Student-initiated research and development of complex media art and hybrid media art projects. Six laboratory hours a week for one semester. May be taken three times for credit. May be repeated for credit. Offered on the letter-grade basis only. Prerequisite: Studio Art 336V with a grade of at least C.","Upper-Division Courses"
"ART 357C","Transmedia: Performance Art III.","Advanced independent inquiry into the development of performance art projects requiring focused research and time. Six laboratory hours a week for one semester. May be taken three times for credit. May be repeated for credit. Offered on the letter-grade basis only.","Upper-Division Courses"
"ART 358C","Transmedia: Digital Time-Art III.","Advanced study in video, sound, and animation with an emphasis on individual research reflecting students' artistic goals. Six laboratory hours a week for one semester. May be taken three times for credit. May be repeated for credit. Offered on the letter-grade basis only.","Upper-Division Courses"
"ART 361K","Painting IV.","Restricted to studio art and art education majors. Continuation of Studio Art 341K . Six laboratory hours a week for one semester. May be taken three times for credit. May be repeated for credit. Offered on the letter-grade basis only. Prerequisite: Studio Art 341K with a grade of at least C.","Upper-Division Courses"
"ART 363K","Advanced Sculpture.","Restricted to studio art and art education majors. Advanced research in the theory, technology, and methods involved in the production of sculpture, with emphasis on individual direction. Six laboratory hours a week for one semester. May be taken three times for credit. May be repeated for credit. Offered on the letter-grade basis only. Prerequisite: Studio Art 323K or 323S with a grade of at least C.","Upper-Division Courses"
"ART 366K","Advanced Life Drawing.","Restricted to studio art and art education majors. Problems in drawing and construction of the human figure. Six laboratory hours a week for one semester. May be taken three times for credit. May be repeated for credit. Offered on the letter-grade basis only. Prerequisite: Studio Art 346K with a grade of at least C.","Upper-Division Courses"
"ART 368N","Advanced Drawing.","Restricted to studio art and art education majors. Continuation of Studio Art 322K . Six laboratory hours a week for one semester. May be taken three times for credit. May be repeated for credit. Offered on the letter-grade basis only. Prerequisite: Studio Art 322K with a grade of at least C.","Upper-Division Courses"
"ART 372K","Advanced Photography.","Restricted to studio art and art education majors. Practice in photography with an emphasis on long-term photography-based projects, more advanced technical knowledge, and a deeper familiarity with uses of the medium. Six laboratory hours a week for one semester. May be taken three times for credit. May be repeated for credit. Offered on the letter-grade basis only. Prerequisite: Studio Art 317K and 335K with a grade of at least C in each.","Upper-Division Courses"
"ART 376","Independent Study: Studio Art.","Restricted to studio art and art education majors. Individual projects to be completed under faculty supervision. The equivalent of six laboratory hours a week for one semester. May be taken twice for credit. May be repeated for credit. Offered on the letter-grade basis only. Prerequisite: Completion of at least fifteen semester hours of upper-division coursework in studio art, a grade point average of at least 3.00 in upper-division studio art, and consent of the studio assistant chair of the department.","Upper-Division Courses"
"ART 376K","Contemporary Issues in Photography.","Restricted to studio art and art education majors. Inquiry of specific themes in photography which can include: photographic intervention, photography since 1945, photo book making, abstraction in photography, appropriation in photography, and lighting for photography. Six laboratory hours a week for one semester. May be taken three times for credit. May be repeated for credit. Offered on the letter-grade basis only. Prerequisite: Studio Art 317K and 335K with a grade of at least C in each.","Upper-Division Courses"
"ART 376P","Contemporary Issues in Print.","Restricted to studio art and art education majors. Explore advanced issues, subjects, and processes in contemporary print and the expanded field. Six laboratory hours a week for one semester. May be taken three times for credit. May be repeated for credit. Offered on the letter-grade basis only. Prerequisite: Studio Art 310P with a grade of at least C.","Upper-Division Courses"
