"code","title","credits","description"
"CHEM 1106.","Laboratory forCHEM 1306.","",""
"CHEM 1107.","Intro General Chemistry Lab.","",""
"CHEM 1108.","Intro Organic & Biochem Lab.","",""
"CHEM 1305.","General Chemistry.","",""
"CHEM 1306.","General Chemistry.","",""
"CHEM 1307.","Intro to General Chemistry.","",""
"CHEM 1308.","Intro Organic & Biochemistry.","",""
"CHEM 2124.","Lab for Organic Chemistry 2324.","",""
"CHEM 2125.","Lab for Organic Chemistry 2325.","",""
"CHEM 2161.","Laboratory for CHEM 2261.","",""
"CHEM 2221.","Organic Chemistry I Lab.","",""
"CHEM 2222.","Organic Chemistry II Lab.","",""
"CHEM 2321.","Organic Chemistry I.","",""
"CHEM 2322.","Organic Chemistry II.","",""
"CHEM 2324.","Organic Chem I (non-majors).","",""
"CHEM 2325.","Organic Chem II (non-majors).","",""
"CHEM 2361.","The Periodic Table.","",""
"CHEM 3110.","Lab for Chemistry 3310.","",""
"CHEM 3131.","Lab for Chemistry.","",""
"CHEM 3151.","Lab for Chemistry 3351.","",""
"CHEM 3152.","Lab for Chemistry 3352.","",""
"CHEM 3301.","Molecular Modeling & Chem Info.","",""
"CHEM 3310.","Analytical Chemistry.","",""
"CHEM 3330.","Biochem I:Struc & Function.","",""
"CHEM 3332.","Biochem II: Metabol & Bioenerg.","",""
"CHEM 3351.","Physical Chemistry I.","",""
"CHEM 3352.","Physical Chemistry II.","",""
"CHEM 4134.","Structural Biochemistry Lab.","",""
"CHEM 4165.","Inorganic Chemistry Lab.","",""
"CHEM 4176.","Introduction to Research.","",""
"CHEM 4211.","Instrumental Meths Analyt Chem.","",""
"CHEM 4212.","Lab for Chemistry 4211.","",""
"CHEM 4328.","Advanced Topics Organic Chem.","",""
"CHEM 4334.","Structural Biochemistry.","",""
"CHEM 4335.","Biophysical Chemistry.","",""
"CHEM 4362.","Structure of Matter.","",""
"CHEM 4365.","Inorganic Chemistry.","",""
"CHEM 4376.","Introduction to Research.","",""
"EDU 1301.","Language, Culture & Education.","",""
"EDU 1342.","Action Research in Classrooms.","",""
"EDU 2301.","Service-learning & Diversity.","",""
"CE 1205.","Graphics Fdmtls in Engr Desgn.","",""
"CE 1301.","Civil Engineering Fundamentals.","",""
"CE 1313.","Engineering Measurements.","",""
"CE 2315.","Statics.","",""
"CE 2326.","Econ for Engrs & Scientists.","",""
"CE 2334.","Mechanics of Materials.","",""
"CE 2335.","Geological Engineering.","",""
"CE 2338.","Mechanics II (Dynamics).","",""
"CE 2343.","Structural Analysis.","",""
"CE 2373.","Engr Probability & Statistics.","",""
"CE 2375.","Intro to Fluid Mechanics.","",""
"CE 2377.","Electro Mechanical Systems.","",""
"CE 2385.","Environmental Engr Fundamental.","",""
"CE 3153.","Water & Waste Water Laboratory.","",""
"CE 3313.","Engineering Measurements.","",""
"CE 3334.","Construction Management.","",""
"CE 3336.","Civil Engineering Materials.","",""
"CE 3342.","Water & Waste Water Engr.","",""
"CE 3343.","Structural Analysis I.","",""
"CE 3345.","Design of Concrete Structures.","",""
"CE 3348.","Geotechnical Engineering.","",""
"CE 3361.","Design of Steel Structures.","",""
"CE 3456.","Hydrology & Hydraulic Engr.","",""
"CE 4153.","Water and Waste Laboratory.","",""
"CE 4158.","Constr Methods & Matrls Lab.","",""
"CE 4171.","Engineering Problems.","",""
"CE 4181.","Co-op Work Experiences.","",""
"CE 4182.","Co-op Work Experiences.","",""
"CE 4183.","Co-op Work Experiences.","",""
"CE 4188.","Senior Design I.","",""
"CE 4195.","Jr.Professional Orientation.","",""
"CE 4271.","Engineering Problems.","",""
"CE 4288.","Senior Design II.","",""
"CE 4339.","Geostructural Design.","",""
"CE 4340.","Transportation Engineering.","",""
"CE 4342.","Water & Wastewater Engineering.","",""
"CE 4348.","Geotechnical Engineering.","",""
"CE 4354.","Electrical & Mech Construction.","",""
"CE 4358.","Construction Methods & Materls.","",""
"CE 4361.","Structural Design II.","",""
"CE 4371.","Engineering Problems-Seminar.","",""
"CE 4375.","Adv. Topics in Civil Engr..","",""
"CE 4376.","Adv Topics in Civ Engr II.","",""
"CE 4377.","Adv Topics in Civil Engr III.","",""
"CE 4381.","Senior Construction Project.","",""
"CE 4382.","Constr. Cost Analys. & Bidding.","",""
"CE 4385.","Construction Internship.","",""
"CE 4386.","Construction Law & Ethics.","",""
"CE 4387.","Construction Scheduling.","",""
"CE 4389.","Construction Safety.","",""
"BE 1205.","Graphics in Engineering Design.","",""
"BE 2303.","Intro. to Mats. Sci. and Engr..","",""
"BE 2338.","Mechanics II.","",""
"BE 2375.","Intro. to Thermal-Fluid Sci..","",""
"BE 2377.","Electrical Circuits and Motors.","",""
"BE 2434.","Mechanics I.","",""
"BME 3303.","Fundamentals of BME I.","",""
"BME 3305.","Fundamentals of BME II.","",""
"ENGR 1302.","Engineering Design Experience.","",""
"ENGR 1303.","Applied Engineering Analysis.","",""
"ENGR 4000.","Engineering Service Learning.","",""
"ENGR 4001.","Engr Stud Organization Leader.","",""
"ENGR 4330.","Innovation Technology.","",""
"ENGR 4331.","Intellectual Property Law.","",""
"ENGR 4332.","Law and Commercialization.","",""
"CHSC 3180.","Special Topics in Health Sci.","",""
"CHSC 3380.","Special Topics in Health Sci.","",""
"CHSC 3615.","Independent Study.","",""
"CLSC 2111.","Molecular Diagnostics Lab.","",""
"CLSC 2210.","Intro to the Clinical Lab.","",""
"CLSC 2212.","Clinical Laboratory Statistics.","",""
"CLSC 2310.","Molecular Diagnostics.","",""
"CLSC 3150.","Medical Terminology.","",""
"CLSC 3153.","Body Fluids Lab.","",""
"CLSC 3155.","Clinical Chemistry I Lab.","",""
"CLSC 3161.","Serology Lab.","",""
"CLSC 3164.","Clinical Chemistry II Lab.","",""
"CLSC 3167.","Infectious Dis Lab:Pre-Anal Op.","",""
"CLSC 3168.","Infec Dis Lab:Anal/Post-Ana Op.","",""
